SampleID,FlumeID,Treatment,Date,SampleType,SampleScale,SampleTime,Parameter,Units,Value
LFTO2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,turnover,DryMass,grams,0.013492
R10B3,Flume1,R10,11/7/2019,biofilm,patch_flat,background,DryMass,grams,0.008132
R10FIL2,Flume1,R10,11/7/2019,biofilm,patch_top_filaments,plateau,DryMass,grams,0.004342
R10P10,Flume1,R10,11/7/2019,biofilm,patch_top,plateau,DryMass,grams,0.015152
R10P15,Flume1,R10,11/7/2019,biofilm,patch_slope,plateau,DryMass,grams,0.013182
R10P2,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,DryMass,grams,0.014682
R10P4,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,DryMass,grams,0.016362
R10TO1,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,DryMass,grams,0.009632
R10TO3,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,DryMass,grams,0.05337
R2P17,Flume2,R2,11/1/2019,biofilm,patch_top,plateau,DryMass,grams,0.04555
R2P2,Flume2,R2,11/1/2019,biofilm,patch_flat,plateau,DryMass,grams,0.03995
R2P3,Flume2,R2,11/1/2019,biofilm,patch_slope,plateau,DryMass,grams,0.05061
R2P9,Flume2,R2,11/1/2019,biofilm,patch_post ripple,plateau,DryMass,grams,0.04309
R2TO1,Flume2,R2,11/1/2019,biofilm,patch_flat,turnover,DryMass,grams,0.04933
R4B2,Flume2,R4,11/7/2019,biofilm,patch_flat,background,DryMass,grams,0.0482
R4FIL3,Flume2,R4,11/7/2019,biofilm,patch_top_filaments,plateau,DryMass,grams,0.04249
R4P3,Flume2,R4,11/7/2019,biofilm,patch_flat,plateau,DryMass,grams,0.12948
R4P7,Flume2,R4,11/7/2019,biofilm,patch_post_ripple,plateau,DryMass,grams,0.0985
R4P9,Flume2,R4,11/7/2019,biofilm,patch_slope,plateau,DryMass,grams,0.05468
R6B1,Flume1,R6,11/1/2019,biofilm,patch_flat,background,DryMass,grams,0.04609
R6B3,Flume1,R6,11/1/2019,biofilm,patch_flat,background,DryMass,grams,0.05622
R6P1,Flume1,R6,11/1/2019,biofilm,patch_flat,plateau,DryMass,grams,0.07516
R6P10,Flume1,R6,11/1/2019,biofilm,patch_slope,plateau,DryMass,grams,0.04059
R6P15,Flume1,R6,11/1/2019,biofilm,patch_top,plateau,DryMass,grams,0.04176
R6P9,Flume1,R6,11/1/2019,biofilm,patch_post_ripple,plateau,DryMass,grams,0.06644
R6TO1,Flume1,R6,11/1/2019,biofilm,patch_flat,turnover,DryMass,grams,0.07173
FFB1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,delta13C,permil,-22.52
FFB3,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,delta13C,permil,-22.33
FFP10,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,delta13C,permil,-22.04
FFP16,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,delta13C,permil,-22.19
FFP2,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,delta13C,permil,-24.14
FFP7,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,delta13C,permil,-22.63
FFTO1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,delta13C,permil,-21.01
LFP11,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,delta13C,permil,-21.96
LFP16,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,delta13C,permil,-21.04
LFP2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,delta13C,permil,-22.76
LFP7,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,delta13C,permil,-22.97
LFTO2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,turnover,delta13C,permil,-22.75
R10B3,Flume1,R10,11/7/2019,biofilm,patch_flat,background,delta13C,permil,-23.4
R10FIL2,Flume1,R10,11/7/2019,biofilm,patch_top_filaments,plateau,delta13C,permil,-25.41
R10P10,Flume1,R10,11/7/2019,biofilm,patch_top,plateau,delta13C,permil,-20.01
R10P15,Flume1,R10,11/7/2019,biofilm,patch_slope,plateau,delta13C,permil,-22.56
R10P2,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,delta13C,permil,-22.86
R10P4,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,delta13C,permil,-23.24
R10TO1,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,delta13C,permil,-27.96
R10TO3,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,delta13C,permil,-21.59
R2P17,Flume2,R2,11/1/2019,biofilm,patch_top,plateau,delta13C,permil,-23.15
R2P2,Flume2,R2,11/1/2019,biofilm,patch_flat,plateau,delta13C,permil,-24.59
R2P3,Flume2,R2,11/1/2019,biofilm,patch_slope,plateau,delta13C,permil,-24.96
R2P9,Flume2,R2,11/1/2019,biofilm,patch_post ripple,plateau,delta13C,permil,-24.12
R2TO1,Flume2,R2,11/1/2019,biofilm,patch_flat,turnover,delta13C,permil,-23.5
R4B2,Flume2,R4,11/7/2019,biofilm,patch_flat,background,delta13C,permil,-26.96
R4FIL3,Flume2,R4,11/7/2019,biofilm,patch_top_filaments,plateau,delta13C,permil,-28.11
R4P3,Flume2,R4,11/7/2019,biofilm,patch_flat,plateau,delta13C,permil,-23.47
R4P7,Flume2,R4,11/7/2019,biofilm,patch_post_ripple,plateau,delta13C,permil,-24.58
R4P9,Flume2,R4,11/7/2019,biofilm,patch_slope,plateau,delta13C,permil,-26.13
R6B1,Flume1,R6,11/1/2019,biofilm,patch_flat,background,delta13C,permil,-22.84
R6B3,Flume1,R6,11/1/2019,biofilm,patch_flat,background,delta13C,permil,-23.13
R6P1,Flume1,R6,11/1/2019,biofilm,patch_flat,plateau,delta13C,permil,-24.4
R6P10,Flume1,R6,11/1/2019,biofilm,patch_slope,plateau,delta13C,permil,-23.92
R6P15,Flume1,R6,11/1/2019,biofilm,patch_top,plateau,delta13C,permil,-21.8
R6P9,Flume1,R6,11/1/2019,biofilm,patch_post_ripple,plateau,delta13C,permil,-24.49
R6TO1,Flume1,R6,11/1/2019,biofilm,patch_flat,turnover,delta13C,permil,-24.02
FFB1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,TotalC,ug,1778.99
FFB3,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,TotalC,ug,878.63
FFP10,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,TotalC,ug,2069.55
FFP16,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,TotalC,ug,1929.67
FFP2,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,TotalC,ug,1144.91
FFP7,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,TotalC,ug,2089.62
FFTO1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,TotalC,ug,1692.32
LFP11,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,TotalC,ug,1969.52
LFP16,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,TotalC,ug,1680.54
LFP2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,TotalC,ug,1086
LFP7,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,TotalC,ug,1319.05
LFTO2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,turnover,TotalC,ug,1230.8
R10B3,Flume1,R10,11/7/2019,biofilm,patch_flat,background,TotalC,ug,2311.82
R10FIL2,Flume1,R10,11/7/2019,biofilm,patch_top_filaments,plateau,TotalC,ug,1207.85
R10P10,Flume1,R10,11/7/2019,biofilm,patch_top,plateau,TotalC,ug,1454.22
R10P15,Flume1,R10,11/7/2019,biofilm,patch_slope,plateau,TotalC,ug,1572.87
R10P2,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,TotalC,ug,1580.68
R10P4,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,TotalC,ug,948.09
R10TO1,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,TotalC,ug,856.16
R10TO3,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,TotalC,ug,1021.62
R2P17,Flume2,R2,11/1/2019,biofilm,patch_top,plateau,TotalC,ug,1175.4
R2P2,Flume2,R2,11/1/2019,biofilm,patch_flat,plateau,TotalC,ug,1188.75
R2P3,Flume2,R2,11/1/2019,biofilm,patch_slope,plateau,TotalC,ug,279.4
R2P9,Flume2,R2,11/1/2019,biofilm,patch_post ripple,plateau,TotalC,ug,448.01
R2TO1,Flume2,R2,11/1/2019,biofilm,patch_flat,turnover,TotalC,ug,899.25
R4B2,Flume2,R4,11/7/2019,biofilm,patch_flat,background,TotalC,ug,1057.57
R4FIL3,Flume2,R4,11/7/2019,biofilm,patch_top_filaments,plateau,TotalC,ug,980.1
R4P3,Flume2,R4,11/7/2019,biofilm,patch_flat,plateau,TotalC,ug,1883.93
R4P7,Flume2,R4,11/7/2019,biofilm,patch_post_ripple,plateau,TotalC,ug,1788.86
R4P9,Flume2,R4,11/7/2019,biofilm,patch_slope,plateau,TotalC,ug,1563.11
R6B1,Flume1,R6,11/1/2019,biofilm,patch_flat,background,TotalC,ug,1072.72
R6B3,Flume1,R6,11/1/2019,biofilm,patch_flat,background,TotalC,ug,1363.34
R6P1,Flume1,R6,11/1/2019,biofilm,patch_flat,plateau,TotalC,ug,2049.5
R6P10,Flume1,R6,11/1/2019,biofilm,patch_slope,plateau,TotalC,ug,384.33
R6P15,Flume1,R6,11/1/2019,biofilm,patch_top,plateau,TotalC,ug,854.29
R6P9,Flume1,R6,11/1/2019,biofilm,patch_post_ripple,plateau,TotalC,ug,2170.12
R6TO1,Flume1,R6,11/1/2019,biofilm,patch_flat,turnover,TotalC,ug,2049.5
FFB1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,delta15N,permil,7.84
FFB3,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,delta15N,permil,6.36
FFP10,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,delta15N,permil,966.91
FFP16,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,delta15N,permil,846.72
FFP2,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,delta15N,permil,788.01
FFP7,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,delta15N,permil,922.52
FFTO1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,delta15N,permil,1012.47
LFP11,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,delta15N,permil,687.57
LFP16,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,delta15N,permil,748.83
LFP2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,delta15N,permil,593.09
LFP7,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,delta15N,permil,548.29
LFTO2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,turnover,delta15N,permil,701.19
R10B3,Flume1,R10,11/7/2019,biofilm,patch_flat,background,delta15N,permil,6.6
R10FIL2,Flume1,R10,11/7/2019,biofilm,patch_top_filaments,plateau,delta15N,permil,280.85
R10P10,Flume1,R10,11/7/2019,biofilm,patch_top,plateau,delta15N,permil,120.34
R10P15,Flume1,R10,11/7/2019,biofilm,patch_slope,plateau,delta15N,permil,747.48
R10P2,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,delta15N,permil,417.23
R10P4,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,delta15N,permil,280.76
R10TO1,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,delta15N,permil,1267.53
R10TO3,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,delta15N,permil,317.68
R2P17,Flume2,R2,11/1/2019,biofilm,patch_top,plateau,delta15N,permil,1471.16
R2P2,Flume2,R2,11/1/2019,biofilm,patch_flat,plateau,delta15N,permil,726.43
R2P3,Flume2,R2,11/1/2019,biofilm,patch_slope,plateau,delta15N,permil,267.21
R2P9,Flume2,R2,11/1/2019,biofilm,patch_post ripple,plateau,delta15N,permil,640.14
R2TO1,Flume2,R2,11/1/2019,biofilm,patch_flat,turnover,delta15N,permil,445.56
R4B2,Flume2,R4,11/7/2019,biofilm,patch_flat,background,delta15N,permil,27.94
R4FIL3,Flume2,R4,11/7/2019,biofilm,patch_top_filaments,plateau,delta15N,permil,2238.8
R4P3,Flume2,R4,11/7/2019,biofilm,patch_flat,plateau,delta15N,permil,363.25
R4P7,Flume2,R4,11/7/2019,biofilm,patch_post_ripple,plateau,delta15N,permil,559.01
R4P9,Flume2,R4,11/7/2019,biofilm,patch_slope,plateau,delta15N,permil,546.83
R6B1,Flume1,R6,11/1/2019,biofilm,patch_flat,background,delta15N,permil,13.23
R6B3,Flume1,R6,11/1/2019,biofilm,patch_flat,background,delta15N,permil,12.06
R6P1,Flume1,R6,11/1/2019,biofilm,patch_flat,plateau,delta15N,permil,149.91
R6P10,Flume1,R6,11/1/2019,biofilm,patch_slope,plateau,delta15N,permil,727.28
R6P15,Flume1,R6,11/1/2019,biofilm,patch_top,plateau,delta15N,permil,741.39
R6P9,Flume1,R6,11/1/2019,biofilm,patch_post_ripple,plateau,delta15N,permil,83.4
R6TO1,Flume1,R6,11/1/2019,biofilm,patch_flat,turnover,delta15N,permil,87.4
FFB1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,TotalN,ug,267.54
FFB3,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,TotalN,ug,123.56
FFP10,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,TotalN,ug,308.11
FFP16,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,TotalN,ug,278.79
FFP2,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,TotalN,ug,154.63
FFP7,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,TotalN,ug,291.18
FFTO1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,TotalN,ug,229.38
LFP11,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,TotalN,ug,254.06
LFP16,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,TotalN,ug,232.74
LFP2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,TotalN,ug,133.53
LFP7,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,TotalN,ug,173.54
LFTO2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,turnover,TotalN,ug,160.19
R10B3,Flume1,R10,11/7/2019,biofilm,patch_flat,background,TotalN,ug,335.24
R10FIL2,Flume1,R10,11/7/2019,biofilm,patch_top_filaments,plateau,TotalN,ug,160.19
R10P10,Flume1,R10,11/7/2019,biofilm,patch_top,plateau,TotalN,ug,193.61
R10P15,Flume1,R10,11/7/2019,biofilm,patch_slope,plateau,TotalN,ug,218.19
R10P2,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,TotalN,ug,227.14
R10P4,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,TotalN,ug,131.32
R10TO1,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,TotalN,ug,142.41
R10TO3,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,TotalN,ug,131.32
R2P17,Flume2,R2,11/1/2019,biofilm,patch_top,plateau,TotalN,ug,183.57
R2P2,Flume2,R2,11/1/2019,biofilm,patch_flat,plateau,TotalN,ug,172.43
R2P3,Flume2,R2,11/1/2019,biofilm,patch_slope,plateau,TotalN,ug,46
R2P9,Flume2,R2,11/1/2019,biofilm,patch_post ripple,plateau,TotalN,ug,57.77
R2TO1,Flume2,R2,11/1/2019,biofilm,patch_flat,turnover,TotalN,ug,121.34
R4B2,Flume2,R4,11/7/2019,biofilm,patch_flat,background,TotalN,ug,101.65
R4FIL3,Flume2,R4,11/7/2019,biofilm,patch_top_filaments,plateau,TotalN,ug,150.18
R4P3,Flume2,R4,11/7/2019,biofilm,patch_flat,plateau,TotalN,ug,242.83
R4P7,Flume2,R4,11/7/2019,biofilm,patch_post_ripple,plateau,TotalN,ug,259.67
R4P9,Flume2,R4,11/7/2019,biofilm,patch_slope,plateau,TotalN,ug,217.07
R6B1,Flume1,R6,11/1/2019,biofilm,patch_flat,background,TotalN,ug,140.19
R6B3,Flume1,R6,11/1/2019,biofilm,patch_flat,background,TotalN,ug,180.22
R6P1,Flume1,R6,11/1/2019,biofilm,patch_flat,plateau,TotalN,ug,264.17
R6P10,Flume1,R6,11/1/2019,biofilm,patch_slope,plateau,TotalN,ug,53.59
R6P15,Flume1,R6,11/1/2019,biofilm,patch_top,plateau,TotalN,ug,119.13
R6P9,Flume1,R6,11/1/2019,biofilm,patch_post_ripple,plateau,TotalN,ug,318.27
R6TO1,Flume1,R6,11/1/2019,biofilm,patch_flat,turnover,TotalN,ug,295.69
FFB1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,SampleWeight,mg,56.2
FFB3,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,SampleWeight,mg,45.1
FFP10,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,SampleWeight,mg,68.27
FFP16,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,SampleWeight,mg,76.6
FFP2,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,SampleWeight,mg,58.7
FFP7,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,SampleWeight,mg,61.7
FFTO1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,SampleWeight,mg,79.5
LFP11,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,SampleWeight,mg,59.1
LFP16,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,SampleWeight,mg,51.9
LFP2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,SampleWeight,mg,48.1
LFP7,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,SampleWeight,mg,47.6
LFTO2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,turnover,SampleWeight,mg,51
R10B3,Flume1,R10,11/7/2019,biofilm,patch_flat,background,SampleWeight,mg,45.7
R10FIL2,Flume1,R10,11/7/2019,biofilm,patch_top_filaments,plateau,SampleWeight,mg,41.9
R10P10,Flume1,R10,11/7/2019,biofilm,patch_top,plateau,SampleWeight,mg,52.7
R10P15,Flume1,R10,11/7/2019,biofilm,patch_slope,plateau,SampleWeight,mg,50.7
R10P2,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,SampleWeight,mg,52.2
R10P4,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,SampleWeight,mg,53.9
R10TO1,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,SampleWeight,mg,47.2
R10TO3,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,SampleWeight,mg,53.4
R2P17,Flume2,R2,11/1/2019,biofilm,patch_top,plateau,SampleWeight,mg,45.5
R2P2,Flume2,R2,11/1/2019,biofilm,patch_flat,plateau,SampleWeight,mg,39.9
R2P3,Flume2,R2,11/1/2019,biofilm,patch_slope,plateau,SampleWeight,mg,48.6
R2P9,Flume2,R2,11/1/2019,biofilm,patch_post ripple,plateau,SampleWeight,mg,43.1
R2TO1,Flume2,R2,11/1/2019,biofilm,patch_flat,turnover,SampleWeight,mg,49.2
R4B2,Flume2,R4,11/7/2019,biofilm,patch_flat,background,SampleWeight,mg,48.2
R4FIL3,Flume2,R4,11/7/2019,biofilm,patch_top_filaments,plateau,SampleWeight,mg,42.5
R4P3,Flume2,R4,11/7/2019,biofilm,patch_flat,plateau,SampleWeight,mg,129.5
R4P7,Flume2,R4,11/7/2019,biofilm,patch_post_ripple,plateau,SampleWeight,mg,48.8
R4P9,Flume2,R4,11/7/2019,biofilm,patch_slope,plateau,SampleWeight,mg,54.7
R6B1,Flume1,R6,11/1/2019,biofilm,patch_flat,background,SampleWeight,mg,46.1
R6B3,Flume1,R6,11/1/2019,biofilm,patch_flat,background,SampleWeight,mg,56.2
R6P1,Flume1,R6,11/1/2019,biofilm,patch_flat,plateau,SampleWeight,mg,75.2
R6P10,Flume1,R6,11/1/2019,biofilm,patch_slope,plateau,SampleWeight,mg,40.6
R6P15,Flume1,R6,11/1/2019,biofilm,patch_top,plateau,SampleWeight,mg,41.8
R6P9,Flume1,R6,11/1/2019,biofilm,patch_post_ripple,plateau,SampleWeight,mg,66.4
R6TO1,Flume1,R6,11/1/2019,biofilm,patch_flat,turnover,SampleWeight,mg,71.7
